Directory	Classification	Reason
Core/Tools/buildVersionUpdate	NOT_RELEVANT_TO_OPENW3D	Stamps donor build numbers. OpenW3D has Code/Tools/VerStamp.
Core/Tools/Compress	PORT_TOOLING	Command-line front end to the Compression library; useful if that library is adopted.
Core/Tools/CRCDiff	PORT_TOOLING	Compares per-frame state CRC logs to find where two runs diverged. Directly useful for server-authoritative determinism work.
Core/Tools/mangler	RETAIL_INFRASTRUCTURE_REJECT	GameSpy NAT negotiation server.
Core/Tools/matchbot	RETAIL_INFRASTRUCTURE_REJECT	GameSpy matchmaking bot.
Core/Tools/textureCompress	PORT_TOOLING	Batch DXT compression for texture assets.
Core/Tools/timingTest	NOT_RELEVANT_TO_OPENW3D	A microbenchmark of the donor's own timer calls.
Core/Tools/versionUpdate	NOT_RELEVANT_TO_OPENW3D	Retail patch version bookkeeping.
Core/Tools/wolSetup	RETAIL_INFRASTRUCTURE_REJECT	Westwood Online account setup.
Core/Tools/WW3D/pluglib	OPENW3D_ALREADY_EQUIVALENT	Code/Tools/pluglib is the same 3ds Max plugin support library.
Core/Tools/WW3D/max2w3d	OPENW3D_ALREADY_EQUIVALENT	Code/Tools/max2w3d is the same exporter. OpenW3D also has Blender2, which the donor does not.
GeneralsMD/Code	NOT_RELEVANT_TO_OPENW3D	Interface targets and include paths only; no source of its own.
GeneralsMD/Code/Libraries/Source/WWVegas	NOT_RELEVANT_TO_OPENW3D	Aggregation target only; no source of its own.
GeneralsMD/Code/Libraries/Source/WWVegas/WWAudio	OPENW3D_ALREADY_EQUIVALENT	Target wrapper with no sources of its own at this SHA; the code is in Core.
GeneralsMD/Code/Libraries/Source/WWVegas/WW3D2	PORT_RENDER_FEATURE	The 68 renderer files not yet unified into Core -- mesh, hlod, part_buf, light, scene, shader and friends. Every one of the 68 exists in Code/ww3d2 under the same name, so these are the Zero Hour deltas over the renderer OpenW3D already has.
GeneralsMD/Code/Libraries/Source/WWVegas/WWDownload	RETAIL_INFRASTRUCTURE_REJECT	Target wrapper for the retail patch downloader.
GeneralsMD/Code/GameEngine	PORT_NEW_ENGINE_CAPABILITY	Zero Hour-specific engine: shroud, roads, bridges, projected shadows, AI states and pathfinding, AcademyStats. Ported per system. Rejected subparts: faction unit behaviour, generals challenge and campaign shells, SAGE networking, GameSpy code.
GeneralsMD/Code/GameEngineDevice	PORT_RENDER_FEATURE	Zero Hour W3D device code: W3DRoadBuffer, W3DBridgeBuffer, W3DShroud, W3DStatusCircle, W3dWaypointBuffer, the Shadow directory.
GeneralsMD/Code/Main	SAGE_ARCHITECTURE_REJECT	WinMain, the SAGE game loop and its ownership model. Roadmap directive: OpenW3D keeps its own game loop.
GeneralsMD/Code/Tools/GUIEdit	NOT_RELEVANT_TO_OPENW3D	Editor for the SAGE .wnd window format, which OpenW3D does not use.
GeneralsMD/Code/Tools/ImagePacker	PORT_TOOLING	Packs loose images into texture atlases with a generated mapping. OpenW3D has no atlas packer.
GeneralsMD/Code/Tools/MapCacheBuilder	NOT_RELEVANT_TO_OPENW3D	Builds a cache of SAGE .map files. OpenW3D levels are W3D/LevelEdit assets.
GeneralsMD/Code/Tools/W3DView	OPENW3D_ALREADY_EQUIVALENT	Code/Tools/W3DView is the same asset viewer.
GeneralsMD/Code/Tools/wdump	OPENW3D_ALREADY_EQUIVALENT	Code/Tools/wdump and WDumpCore are the same chunk dumper.
GeneralsMD/Code/Tools/WorldBuilder	NOT_RELEVANT_TO_OPENW3D	SAGE terrain map editor. OpenW3D authors levels in LevelEdit against W3D geometry, which the roadmap requires preserving.
GeneralsMD/Code/Tools/Launcher	RETAIL_INFRASTRUCTURE_REJECT	Retail launcher and update shell.
GeneralsMD/Code/Tools/Launcher/DatGen	RETAIL_INFRASTRUCTURE_REJECT	Generates the launcher's data file.
