ID	Capability	DonorSources	Tree	Classification	EAValidation	OpenW3DEquivalent	TargetModule	TTDependency	RendererDependency	PhysicsDependency	AIDependency	NetworkDependency	SaveLoadDependency	ClientServer	MigrationClass	RejectedSubparts	Tests
ZH-11	Dynamic-light filtering	W3DDynamicLight.cpp/.h	GeneralsMD	PORT_RENDER_CORRECTNESS		wwphys/lightcull, lightphys	Code/wwphys	none	per-frame light selection	lights are physics-culled objects	none	none	none	client only	ALGORITHM_ONLY	none	the light set chosen for a frame is stable when the camera is stationary
ZH-12	Tracer / beam / projectile modules	W3DTracerDraw; W3DLaserDraw; W3DProjectileStreamDraw; W3DRopeDraw; streak.cpp/.h; streakrender.cpp/.h	Core	PORT_RENDER_FEATURE		ww3d2/seglinerenderer is the same primitive	Code/ww3d2	none	segmented line rendering	projectile positions come from WWPhys	none	tracer spawn is client-predicted	none	client only	ADAPTED_BACKPORT	SAGE weapon module binding	a beam renders with correct width at grazing camera angles
ZH-13	Debris rendering	W3DDebrisDraw.cpp/.h; Debris	Core	PORT_RENDER_FEATURE		Renegade debris is spawned physics objects, heavier per piece	Code/ww3d2	none	none	replaces per-piece rigid bodies for visual-only debris	none	none	debris is transient	client only	ALGORITHM_ONLY	none	visual-only debris costs no physics objects
ZH-14	Shader-manager architecture	W3DShaderManager.cpp/.h; WW3D2/shader.cpp/.h	Core+GeneralsMD	PORT_ENGINE_ENHANCEMENT		ww3d2/shader is common ancestry; the selection layer above it is missing	Code/ww3d2	none	device capability detection and shader selection	none	none	none	none	client only	ARCHITECTURE_ONLY	fixed-function-only fallbacks for hardware OpenW3D no longer targets	an unsupported shader falls back without a black frame
ZH-15	RTS shroud / fog-of-war	W3DShroud.cpp/.h; PartitionManager shroud paths; ShroudUpdate	GeneralsMD	PORT_NEW_ENGINE_CAPABILITY		none	Code/Combat + Code/ww3d2	none	shroud texture over terrain	visibility queries use spatial culling	AI must not see through shroud	shroud is per player and server-authoritative	shroud state persists per player	both; the server owns it, the client draws it	ADAPTED_BACKPORT	client-side shroud authority: the Commander intelligence firewall requires the server to decide	moving the strategic camera reveals nothing; only a unit or a Communications Center does
ZH-16	Radar system	W3DRadar.cpp/.h; Radar.cpp/.h; RadarUpgrade	Core+GeneralsMD	PORT_ENGINE_ENHANCEMENT		Combat/radar.cpp: RadarManager, markers, modes, save/load	Code/Combat	none	radar terrain texture generation	none	object list comes from spatial queries	radar contents are per player	RadarManager already persists	both	ALREADY_BETTER_EXTEND	replacing RadarManager wholesale	an existing Renegade radar marker still works after the terrain and shroud layers are added
ZH-17	Waypoint / status-circle renderers	W3dWaypointBuffer.cpp/.h; W3DStatusCircle.cpp/.h	GeneralsMD	PORT_NEW_ENGINE_CAPABILITY		none	Code/Commando	none	2D-over-3D overlay drawing	none	shows AI order state	order feedback is server-confirmed	none	client only	DIRECT_ADAPT	none	a status circle tracks its object through a camera cut
ZH-18	Modular draw components	W3DModelDraw and the Module/*Draw family; Drawable; DrawableInfo	Core+GeneralsMD	PORT_ENGINE_ENHANCEMENT	consult before adopting 4990ca933, which merged Drawable and Locomotor	Renegade render objects plus WWPhys	Code/ww3d2 + Code/Combat	none	composite model attachment	attachment transforms come from bones	turret and state animations are AI-driven	attachment state is replicated	attachments persist	both	ARCHITECTURE_ONLY	SAGE Thing/Drawable ownership, which directive 0.4 and Section 13.7 both reject	a composite model with three attachments saves and loads with them attached
ZH-19	Spatial partitioning	PartitionManager.cpp/.h; W3DScene; CullSystem	Core+GeneralsMD	OPENW3D_ALREADY_BETTER_EXTEND_IF_NEEDED		wwphys AAB-tree, dynamic AAB-tree and grid culling, stronger for interiors	Code/wwphys	none	culling feeds the render list	this is physics-owned in OpenW3D	threat and target queries	query results must be deterministic server-side	none	both	ALGORITHM_ONLY	PartitionManager as a container: OpenW3D's culling is better suited to worlds with interiors	a shroud or threat query returns the same set as the equivalent WWPhys query
ZH-20	Debug rendering tools	W3DDebugIcons; W3DDebugDisplay; DebugDisplay; GraphDraw; W3DProfilerFrameCapture	Core+GeneralsMD	PORT_DEBUG_PROFILING		Combat/debug plus LevelEdit visualisations	Code/Combat	none	in-world icon and graph drawing	none	shows AI state in world	none	none	client only	DIRECT_ADAPT	none	debug rendering compiles out of a release build entirely
ZH-21	Far/background terrain LOD	W3DTerrainBackground.cpp/.h	Core	PORT_NEW_ENGINE_CAPABILITY		none	Code/ww3d2	none	coarse terrain draw beyond the active area	none	none	none	none	client only	DIRECT_ADAPT	none	the far terrain seam is invisible at the transition distance
ZH-22	Surface smudge / decal manager	W3DSmudge.cpp/.h	Core	PORT_RENDER_FEATURE		decals are equivalent: ww3d2/decalsys, decalmsh, wwphys/physdecalsys	Code/ww3d2	none	persistent surface marks with a budget	marks attach to physics surfaces	none	none	marks are transient	client only	ADAPTED_BACKPORT	none	the mark budget is enforced; the oldest mark is dropped, not the newest refused
ZH-23	Weather / environment particles	W3DSnow.cpp/.h; Snow; Weather	Core	PORT_RENDER_FEATURE		Combat/WeatherMgr exists; the screen-space particle layer does not	Code/Combat + Code/ww3d2	none	screen-space particle layer	weather must not enter interiors	none	weather state is server-set	weather setting persists	both	ADAPTED_BACKPORT	none	snow does not fall inside a Renegade building interior
ZH-24	AI state machine / pathfinding / guard	AI.cpp/.h; AIPathfind; AIStateMachine; AIGuardRetaliate; AIPlayer; StateMachine	Core+GeneralsMD	PORT_AI_IMPROVEMENT	consult when a community pathfinder change alters retail behaviour	Combat/statemachine, pathaction, wwphys/Pathfind with LevelEdit-baked sectors	Code/Combat	produced units are ordinary Renegade AI, which TT scripts can still drive	none	paths must respect WWPhys collision	this is the AI	orders are server-authoritative	AI state persists	server authoritative; client sees results	ADAPTED_BACKPORT	SAGE unit ownership and faction-specific behaviour	a guard unit retaliates against a shooter outside its guard radius and returns to post
ZH-25	RTS telemetry / statistics	AcademyStats.cpp/.h; ScoreKeeper; StatsCollector	Core+GeneralsMD	PORT_DATA_VALIDATION		Commando/scoreevent, scorescreen, wwnet/netstats	Code/Commando	none	none	none	records AI decisions	stats are per player and server-collected	stats persist across a map	both	ALGORITHM_ONLY	Zero Hour-specific scoring content	a stat counter survives a map transition without resetting mid-match
ZH-26	Frame profiler	Core/Libraries/Source/profile (Tracy and legacy)	Core	PORT_DEBUG_PROFILING		none	Code/wwdebug	none	frame timing instrumentation	none	none	none	none	both	DIRECT_ADAPT	the legacy profiler, superseded by Tracy in the donor itself	the profiler compiles out with zero overhead when disabled
ZH-27	Structured debug/assert/log library	Core/Libraries/Source/debug; Tools/DebugWindow	Core	PORT_DEBUG_PROFILING		wwdebug exists but has no out-of-process client	Code/wwdebug	none	none	none	none	the debug window is a separate process	none	both; matters most on the dedicated server	ADAPTED_BACKPORT	none	an assert on the dedicated server logs and continues instead of opening a modal box
ZH-28	Compression front end	Core/Libraries/Source/Compression; Tools/Compress	Core	PORT_RESOURCE_MANAGEMENT		none behind a single interface	Code/wwlib	none	none	none	none	compressed payloads over the wire	compressed save games	both	DIRECT_ADAPT	none	every codec round-trips a 1-byte, a 1-MB and an empty buffer
ZH-29	Crash capture and minidumps	WWLib/dbghelpguard; dbghelploader; dbghelploader_minidump	Core	PORT_STABILITY		none	Code/wwdebug	none	none	none	none	none	none	both; the dedicated server needs it most	DIRECT_ADAPT	none	a deliberate access violation writes a minidump and exits without a dialog
ZH-30	Texture filtering and quality control	WW3D2/texturefilter.cpp/.h	Core	PORT_RENDER_CORRECTNESS		ww3d2/texture handles loading but not a filter policy	Code/ww3d2	none	filter and mip policy per texture class	none	none	none	none	client only	DIRECT_ADAPT	none	changing texture quality updates already-loaded textures, not only new ones
ZH-31	Deterministic sorted draw list	WW3D2/static_sort_list.cpp/.h	Core	PORT_RENDER_CORRECTNESS		ww3d2 sorts per frame without a stable static list	Code/ww3d2	none	stable draw order for coplanar surfaces	none	none	none	none	client only	DIRECT_ADAPT	none	two coplanar surfaces keep their order across frames and camera angles
ZH-32	Audio handle wrappers	WWAudio/listenerhandle; sound2dhandle; sound3dhandle; soundstreamhandle	Core	PORT_MEMORY_SAFETY		Code/WWAudio has the same raw Miles handle shape and exposure	Code/WWAudio	none	none	none	none	none	none	client only	ADAPTED_BACKPORT	none	a sound destroyed while playing leaves no dangling handle
ZH-33	Lock-free MPSC queue	WWLib/mpsc_intrusive_queue.h	Core	PORT_PERFORMANCE		none	Code/wwlib	none	none	none	none	useful for the network receive path	none	both	DIRECT_ADAPT	none	many producers and one consumer lose no items under contention
ZH-34	UTF-8, MD5, regular expressions	WWLib/utf8; md5; regexpr	Core	PORT_ENGINE_ENHANCEMENT		wwlib has none of the three	Code/wwlib	none	none	none	none	MD5 is useful for asset and packet integrity	none	both	DIRECT_ADAPT	none	UTF-8 round-trips text the Renegade string table already contains
ZH-35	Portability shims	WWLib/mingw.h; visualc.h; strtok_r; stlutils.h; systemallocator.h	Core	PORT_PORTABILITY_IDEA		none	Code/wwlib	none	none	none	none	none	none	both	PERFORMANCE_IDEA_ONLY	the MinGW toolchain itself: OpenW3D targets MSVC x86 and adopting MinGW is not on this roadmap	the shims compile under the existing MSVC x86 build without changing behaviour
ZH-36	Frame-state CRC divergence tooling	Core/Tools/CRCDiff	Core	PORT_DATA_VALIDATION		none	Code/Tools	none	none	none	none	this is how a desync is found	none	both	DIRECT_ADAPT	none	two logs differing at one frame report that frame and no other
ZH-37	Asset residency computation	Core/Tools/assetcull	Core	PORT_TOOLING		none	Code/Tools	none	feeds ZH-01	none	none	none	none	tool	ADAPTED_BACKPORT	SAGE map format input	the residency set for a level is reproducible byte for byte
ZH-38	Live particle editor	Core/Tools/ParticleEditor	Core	PORT_TOOLING		particles are edited only through LevelEdit definitions	Code/Tools/LevelEdit	none	edits the running particle system	none	none	the editor attaches to a running game	edited systems save as definitions	tool	ARCHITECTURE_ONLY	the SAGE INI particle format	an edit made live survives being saved and reloaded
ZH-39	Texture atlas packer	GeneralsMD/Code/Tools/ImagePacker	GeneralsMD	PORT_TOOLING		none	Code/Tools	none	produces atlases the renderer consumes	none	none	none	none	tool	DIRECT_ADAPT	SAGE image mapping format	the generated mapping addresses every packed image
ZH-40	Batch DXT texture compression	Core/Tools/textureCompress	Core	PORT_TOOLING		Code/Tools has no batch compressor	Code/Tools	none	produces the textures the renderer loads	none	none	none	none	tool	DIRECT_ADAPT	none	a compressed texture loads through the existing ww3d2 path
